name_c,name_j,name_e,category,filename,obtainedFrom,sell,buy,seasonalAvailability,styles,themes,villagerEquippable,variations
運動褲,ジャージズボン,athletic pants,下身,BottomsTexPantsNormalJersey2,裁縫店,220,880,全年,活潑,"['戶外活動', '悠閒', '運動']",False,6
運動短褲,ジャージショートパンツ,athletic shorts,下身,BottomsTexPantsHalfJersey2,裁縫店,140,560,全年,活潑,"['戶外活動', '悠閒', '運動']",False,6
籃球褲,バスケットパンツ,basketball shorts,下身,BottomsTexPantsHalfBasketball7,裁縫店,245,980,全年,活潑,"['運動', '工作']",False,8
喇叭褲,ベルボトムパンツ,bell-bottoms,下身,BottomsTexPantsWideBellbottoms0,裁縫店,330,1320,全年,華麗,['日常生活'],False,5
腰帶一片裙,ベルトのまきスカート,belted wraparound skirt,下身,BottomsTexSkirtLongWrap1,裁縫店,260,1040,全年,簡單,"['日常生活', '悠閒']",False,4
絨毛短褲,ボアハーフパンツ,boa shorts,下身,BottomsTexPantsHalfBoa7,裁縫店,300,1200,冬季,活潑,"['日常生活', '戶外活動']",False,8
絨毛裙,ボアスカート,boa skirt,下身,BottomsTexSkirtBoxBoa3,裁縫店,325,1300,冬季,活潑,"['日常生活', '戶外活動']",False,8
MA-1防風裙,ＭＡ‐１スカート,bomber-style skirt,下身,BottomsTexSkirtLongMaone1,裁縫店,330,1320,全年,酷,"['日常生活', '戶外活動']",False,4
植物圖案短褲,ボタニカルハーフパンツ,botanical shorts,下身,BottomsTexPantsHalfBotanical1,裁縫店,175,700,夏季,酷,"['悠閒', '度假']",False,2
直筒前褶裙,ボックスプリーツスカート,box-pleated skirt,下身,BottomsTexSkirtBoxBoxpleats2,裁縫店,330,1320,全年,簡單,"['日常生活', '度假']",False,4
前排釦蕾絲裙,まえボタンレースのスカート,buttoned lace skirt,下身,BottomsTexSkirtLongLace1,裁縫店,300,1200,夏季,簡單,"['日常生活', '童話世界', '悠閒', '度假']",False,5
鈕扣一片裙,ボタンのまきスカート,buttoned wraparound skirt,下身,BottomsTexSkirtLongWrapbicolor0,裁縫店,455,1820,全年,優雅,"['日常生活', '正式']",False,6
迷彩褲,めいさいパンツ,camo pants,下身,BottomsTexPantsNormalCamouflage0,裁縫店,325,1300,全年,酷,"['日常生活', '戶外活動']",False,7
迷彩裙,めいさいスカート,camo skirt,下身,BottomsTexSkirtBoxCamo0,裁縫店,325,1300,全年,酷,"['日常生活', '戶外活動']",False,7
西裝裙,キャリアなスカート,career skirt,下身,BottomsTexSkirtBoxCareer0,裁縫店,390,1560,全年,簡單,"['正式', '工作']",False,8
工作褲,カーゴパンツ,cargo pants,下身,BottomsTexPantsWideCargo3,裁縫店,192,770,全年,簡單,"['日常生活', '戶外活動']",False,5
工作短褲,ハーフカーゴパンツ,cargo shorts,下身,BottomsTexPantsHalfCargo3,裁縫店,270,1080,全年,簡單,"['日常生活', '戶外活動', '悠閒', '度假']",False,5
休閒寬褲,ワイドイージーパンツ,casual pants,下身,BottomsTexPantsWideEasy1,裁縫店,275,1100,全年,簡單,"['日常生活', '悠閒']",False,6
鏈條褲,チェーンつきパンツ,chain pants,下身,BottomsTexPantsNormalChain2,裁縫店,325,1300,全年,酷,"['日常生活', '舞台']",False,4
卡其褲,チノパン,chino pants,下身,BottomsTexPantsNormalChino4,裁縫店,175,700,全年,簡單,"['日常生活', '工作']",False,8
墨西哥傳統裙子,エナグワス,colorful skirt,下身,BottomsTexSkirtLongEnaguas0,裁縫店,275,1100,全年,簡單,"['悠閒', '度假']",False,5
搞笑藝人亮片褲,コメディアンのパンツ,comedian's pants,下身,BottomsTexPantsNormalComedian7,裁縫店,525,2100,全年,華麗,"['派對', '舞台']",False,8
對話框短褲,アメコミがらハーフパンツ,comic shorts,下身,BottomsTexPantsHalfComic0,裁縫店,285,1140,全年,酷,"['悠閒', '度假']",False,0
燈芯絨褲,コーデュロイボトム,corduroy pants,下身,BottomsTexPantsWideCorduroy4,裁縫店,260,1040,全年,簡單,['日常生活'],False,6
燈芯絨裙,コーデュロイスカート,corduroy skirt,下身,BottomsTexSkirtBoxCorduroy4,裁縫店,260,1040,全年,簡單,['日常生活'],False,6
瓜地馬拉傳統裙子,コルテ,corte skirt,下身,BottomsTexSkirtLongCorte1,裁縫店,220,880,全年,簡單,"['悠閒', '度假']",False,3
七分褲,クロップドパンツ,cropped pants,下身,BottomsTexPantsNormalCropped1,裁縫店,230,920,全年,簡單,"['日常生活', '正式', '工作']",False,8
反摺褲,すそみせズボン,cuffed pants,下身,BottomsTexPantsWideSusomise3,裁縫店,275,1100,全年,簡單,['日常生活'],False,4
褲裙,キュロット,culottes,下身,BottomsTexPantsHotCulotte1,裁縫店,175,700,全年,可愛,"['日常生活', '悠閒', '度假']",False,4
鏤空皮裙,カットレザースカート,cut-pleather skirt,下身,BottomsTexSkirtLongCutleather3,裁縫店,275,1100,全年,簡單,"['日常生活', '正式']",False,4
單車褲,サイクルボトム,cycling shorts,下身,BottomsTexPantsNormalCycle2,裁縫店,175,700,全年,活潑,"['戶外活動', '運動']",False,8
跳舞運動褲,ダンスジャージズボン,dance warm-up pants,下身,BottomsTexPantsWideCool1,裁縫店,390,1560,全年,活潑,"['運動', '舞台']",False,4
牛仔短褲,デニムショートパンツ,denim cutoffs,下身,BottomsTexPantsHotDenim0,裁縫店,280,1120,全年,簡單,"['日常生活', '度假']",False,5
牛仔油漆工褲,デニムのペインターパンツ,denim painter's pants,下身,BottomsTexPantsWideDenim0,裁縫店,390,1560,全年,簡單,"['日常生活', '戶外活動']",False,5
牛仔褲,デニムパンツ,denim pants,下身,BottomsTexPantsNormalDenim0,裁縫店,280,1120,全年,簡單,['日常生活'],False,5
牛仔裙,デニムスカート,denim skirt,下身,BottomsTexSkirtBoxDenim0,裁縫店,280,1120,全年,簡單,"['日常生活', '度假']",False,5
金色點點褲,ゴールドドットパンツ,dotted shorts,下身,BottomsTexPantsHotDotgold1,裁縫店,245,980,全年,可愛,"['派對', '悠閒', '度假']",False,2
羽絨褲,ダウンパンツ,down pants,下身,BottomsTexPantsNormalDown3,裁縫店,280,1120,冬季,活潑,"['日常生活', '戶外活動']",False,8
羽絨裙,ダウンスカート,down skirt,下身,BottomsTexSkirtBoxDown3,裁縫店,260,1040,冬季,活潑,"['日常生活', '戶外活動']",False,8
不規則摺邊裙,ドレープスカート,draped skirt,下身,BottomsTexSkirtLongDrape3,裁縫店,455,1820,夏季,簡單,"['日常生活', '悠閒', '度假']",False,8
夢幻可愛褲子,ゆめかわなズボン,dreamy pants,下身,BottomsTexPantsWideYumekawa0,裁縫店,360,1440,冬季,可愛,"['童話世界', '悠閒']",False,4
制服褲,せいふくのズボン,dress pants,下身,BottomsTexPantsWideSchool3,裁縫店,325,1300,全年,簡單,"['日常生活', '正式']",False,4
泰國大象褲,タイパンツ,elephant-print pants,下身,BottomsTexPantsWideThail5,裁縫店,275,1100,夏季,簡單,"['悠閒', '度假']",False,6
印花牛仔褲,プリントデニム,embellished denim pants,下身,BottomsTexPantsWidePrintdenim0,裁縫店,325,1300,全年,酷,"['日常生活', '戶外活動']",False,3
刺繡花紋裙,ししゅうのはながらスカート,embroidered floral skirt,下身,BottomsTexSkirtLongEmbroidery2,裁縫店,330,1320,全年,優雅,"['日常生活', '悠閒', '度假']",False,3
幾何刺繡裙,きかがくししゅうのスカート,embroidered-pattern skirt,下身,BottomsTexSkirtLongGeometric2,裁縫店,275,1100,全年,簡單,"['日常生活', '度假']",False,3
探險服褲子,たんけんふくのズボン,explorer shorts,下身,BottomsTexPantsHalfExplorer2,裁縫店,260,1040,全年,活潑,"['戶外活動', '工作']",False,4
毛毛裙,ファースカート,faux-fur skirt,下身,BottomsTexSkirtAlineFur2,裁縫店,360,1440,冬季,可愛,"['日常生活', '童話世界', '派對']",False,5
麂皮裙,ムートンスカート,faux-shearling skirt,下身,BottomsTexSkirtBoxMouton4,裁縫店,390,1560,冬季,簡單,"['日常生活', '戶外活動']",False,5
喇叭裙,フレアスカート,flare skirt,下身,BottomsTexSkirtAlineFlare1,裁縫店,285,1140,全年,簡單,"['日常生活', '悠閒']",False,5
亮面西裝褲,ハデなスラックス,flashy slacks,下身,BottomsTexPantsNormalSlacksgaudy0,裁縫店,325,1300,全年,華麗,"['正式', '派對', '舞台']",False,6
花紋蕾絲裙,はながらレースのスカート,floral lace skirt,下身,BottomsTexSkirtBoxLace7,裁縫店,330,1320,全年,優雅,"['日常生活', '童話世界', '正式', '派對', '度假']",False,8
花紋裙子,はながらスカート,floral skirt,下身,BottomsTexSkirtLongFlower2,裁縫店,275,1100,全年,優雅,"['日常生活', '童話世界', '悠閒', '度假']",False,3
美式足球褲,アメフトズボン,football pants,下身,BottomsTexPantsNormalAmericanfootball1,裁縫店,245,980,全年,活潑,"['運動', '工作']",False,8
清爽五分褲,きれいめハーフパンツ,formal shorts,下身,BottomsTexPantsHalfFormal0,裁縫店,210,840,全年,簡單,"['日常生活', '正式', '戶外活動', '度假']",False,8
荷葉邊褲子,フリルつきパンツ,frilly pants,下身,BottomsTexPantsWideFrilled2,裁縫店,300,1200,全年,簡單,"['日常生活', '度假']",False,5
蓬蓬裙,フリルスカート,frilly skirt,下身,BottomsTexSkirtAlineFrilled5,裁縫店,275,1100,全年,可愛,"['日常生活', '童話世界', '派對', '悠閒', '舞台']",False,6
荷葉邊棉褲,スウェットフリルズボン,frilly sweatpants,下身,BottomsTexPantsNormalSweatfrill5,裁縫店,220,880,全年,可愛,['日常生活'],False,6
流蘇裙,フリンジスカート,fringe skirt,下身,BottomsTexSkirtBoxFringe2,裁縫店,390,1560,全年,簡單,"['日常生活', '度假']",False,7
闊腿褲,ガウチョパンツ,gaucho pants,下身,BottomsTexPantsWideGaucho0,裁縫店,220,880,全年,簡單,"['正式', '工作']",False,5
奇馬約圖騰刷毛褲,チマヨがらフリースパンツ,geometric-print pants,下身,BottomsTexPantsNormalChimayo3,裁縫店,260,1040,冬季,簡單,"['日常生活', '悠閒', '度假']",False,5
嘉頓格紋裙,ギンガムチェックのスカート,gingham picnic skirt,下身,BottomsTexSkirtAlineGingham3,裁縫店,220,880,全年,簡單,['日常生活'],False,8
戈布蘭刺繡短褲,ゴブランハーフパンツ,gobelin shorts,下身,BottomsTexPantsHalfGobelins1,裁縫店,210,840,全年,優雅,"['日常生活', '度假']",False,2
草裙,こしみの,grass skirt,下身,BottomsTexSkirtBoxGrass0,DIY,140,,全年,活潑,"['戶外活動', '度假']",False,0
綠色草裙,みどりのこしみの,green grass skirt,下身,BottomsTexSkirtBoxGrass1,DIY,140,,全年,活潑,"['戶外活動', '度假']",False,0
條紋油漆工褲,ヒッコリーのペインターパンツ,hickory-stripe pants,下身,BottomsTexPantsWideHickory1,裁縫店,390,1560,全年,簡單,"['日常生活', '戶外活動', '運動']",False,2
跑步短褲,ランニングパンツ,jogging shorts,下身,BottomsTexPantsHotRunning5,裁縫店,175,700,全年,活潑,"['戶外活動', '悠閒', '運動']",False,8
蘇格蘭裙,キルト,kilt,下身,BottomsTexSkirtAlineKilt1,裁縫店,250,1000,全年,簡單,"['日常生活', '正式', '工作']",False,4
針織褲,ニットパンツ,knit pants,下身,BottomsTexPantsNormalKnit0,裁縫店,227,910,冬季,簡單,"['日常生活', '悠閒']",False,4
針織裙,ニットスカート,knit skirt,下身,BottomsTexSkirtBoxAran2,裁縫店,227,910,冬季,簡單,"['日常生活', '悠閒']",False,4
功夫褲,カンフーなズボン,kung-fu pants,下身,BottomsTexPantsWideKungfu1,裁縫店,420,1680,全年,簡單,"['日常生活', '運動']",False,5
凱絲五分褲,ケイトのハーフパンツ,Labelle shorts,下身,BottomsTexPantsHalfKate1,綿兒,635,2540,全年,酷,"['正式', '派對', '舞台']",False,6
凱絲裙,ケイトのスカート,Labelle skirt,下身,BottomsTexSkirtLongKate1,綿兒,775,3100,全年,優雅,"['正式', '派對', '舞台']",False,6
蕾絲短褲,レースショートパンツ,lace shorts,下身,BottomsTexPantsHotLace0,裁縫店,210,840,夏季,可愛,"['日常生活', '童話世界', '度假']",False,5
蕾絲裙,レーススカート,lace skirt,下身,BottomsTexSkirtAlineLace0,裁縫店,230,920,夏季,可愛,"['日常生活', '童話世界', '度假']",False,4
檸檬裙子,レモンのスカート,lemon skirt,下身,BottomsTexSkirtLongLemon1,裁縫店,220,880,夏季,優雅,"['日常生活', '悠閒', '度假']",False,3
豹紋迷你裙,ヒョウがらミニスカート,leopard miniskirt,下身,BottomsTexSkirtBoxLeopard1,裁縫店,455,1820,全年,酷,['日常生活'],False,6
卡其長裙,ロングチノスカート,long chino skirt,下身,BottomsTexSkirtLongChino4,裁縫店,390,1560,全年,簡單,"['日常生活', '悠閒']",False,5
牛仔長裙,ロングデニムスカート,long denim skirt,下身,BottomsTexSkirtLongDenim0,裁縫店,390,1560,全年,簡單,['日常生活'],False,5
格紋長裙,チェックのロングスカート,long plaid skirt,下身,BottomsTexSkirtLongCheck0,裁縫店,362,1450,全年,簡單,"['日常生活', '悠閒']",False,4
百褶長裙,ロングプリーツスカート,long pleated skirt,下身,BottomsTexSkirtLongPleats1,裁縫店,390,1560,全年,簡單,['日常生活'],False,5
圓點長裙,みずたまロングスカート,long polka skirt,下身,BottomsTexSkirtLongDot0,裁縫店,325,1300,夏季,簡單,"['日常生活', '度假']",False,8
水手服長裙,ロングセーラースカート,long sailor skirt,下身,BottomsTexSkirtLongSailor0,裁縫店,390,1560,全年,簡單,"['日常生活', '正式']",False,8
棉質長裙,スウェットロングスカート,long sweatskirt,下身,BottomsTexSkirtLongSweat1,裁縫店,250,1000,全年,活潑,"['日常生活', '悠閒']",False,4
泰拳褲,ムエタイパンツ,muay-thai shorts,下身,BottomsTexPantsHotThai1,裁縫店,245,980,全年,活潑,"['悠閒', '運動']",False,4
多色五分褲,マルチカラーのハーフパンツ,multicolor shorts,下身,BottomsTexPantsHalfMulticolor1,裁縫店,275,1100,全年,活潑,"['日常生活', '戶外活動', '度假']",False,4
貴族褲子,きぞくのズボン,noble pants,下身,BottomsTexPantsNormalNoble2,裁縫店,1075,4300,全年,華麗,"['童話世界', '正式', '派對', '舞台']",False,8
戶外活動褲,アウトドアパンツ,outdoor shorts,下身,BottomsTexPantsHalfOutdoor1,裁縫店,175,700,全年,活潑,"['戶外活動', '運動']",False,8
膝蓋補丁褲,ひざあてズボン,patched-knee pants,下身,BottomsTexPantsWideKnee3,裁縫店,220,880,全年,簡單,"['日常生活', '運動', '度假', '工作']",False,4
拼布裙,パッチワークスカート,patchwork skirt,下身,BottomsTexSkirtLongPatch1,裁縫店,525,2100,全年,可愛,"['日常生活', '悠閒', '度假']",False,4
珍珠裙子,パールつきスカート,pearl skirt,下身,BottomsTexSkirtAlinePearlNavy,裁縫店,420,1680,全年,可愛,"['童話世界', '正式', '派對', '舞台']",False,0
芭蕾舞紗裙,チュチュスカート,petal skirt,下身,BottomsTexSkirtAlineTutu0,裁縫店,385,1540,全年,華麗,"['派對', '舞台']",False,3
鳳梨夏威夷褲,パインがらアロハパンツ,pineapple aloha shorts,下身,BottomsTexPantsHalfAloha1,裁縫店,210,840,夏季,活潑,"['悠閒', '度假']",False,7
法蘭絨格紋熱褲,シャギーチェックのホットパンツ,plaid shorts,下身,BottomsTexPantsHotShaggycheck3,裁縫店,245,980,全年,簡單,"['日常生活', '度假']",False,4
喇叭皮裙,レザーのフレアスカート,pleather flare skirt,下身,BottomsTexSkirtAlineLeather7,裁縫店,390,1560,全年,活潑,"['日常生活', '正式']",False,8
皮褲,レザーパンツ,pleather pants,下身,BottomsTexPantsNormalLeather0,裁縫店,325,1300,全年,酷,"['日常生活', '戶外活動', '舞台']",False,6
拼布皮裙,レザーパッチスカート,pleather patch skirt,下身,BottomsTexSkirtAlinePatch0,裁縫店,420,1680,全年,簡單,"['日常生活', '正式']",False,4
皮短褲,レザーのショートパンツ,pleather shorts,下身,BottomsTexPantsHotLeather2,裁縫店,260,1040,全年,酷,"['日常生活', '舞台']",False,4
皮裙,レザースカート,pleather skirt,下身,BottomsTexSkirtBoxLeather0,裁縫店,325,1300,全年,酷,"['日常生活', '戶外活動']",False,6
千鳥格紋裙,ちどりのスカート,plover skirt,下身,BottomsTexSkirtBoxChidori1,裁縫店,300,1200,冬季,可愛,"['日常生活', '正式', '派對', '工作']",False,3
點點迷你裙,ドットミニスカート,polka-dot mini skirt,下身,BottomsTexSkirtAlineDot3,裁縫店,275,1100,全年,簡單,"['日常生活', '度假']",False,4
龐克裙褲,ボンテージパンツ,punk pants,下身,BottomsTexPantsNormalBondage0,裁縫店,455,1820,全年,酷,"['日常生活', '舞台']",False,4
防雨褲,レインパンツ,rain pants,下身,BottomsTexPantsWideRain7,裁縫店,175,700,全年,簡單,['戶外活動'],False,8
水手服裙,セーラーふくのスカート,sailor skirt,下身,BottomsTexSkirtAlineSailor0,裁縫店,245,980,全年,簡單,"['日常生活', '正式']",False,8
緞面褲子,サテンのパンツ,satin pants,下身,BottomsTexPantsWideSatin4,裁縫店,220,880,全年,簡單,"['日常生活', '正式', '派對']",False,7
學校制服褲,がくせいふくのズボン,school pants,下身,BottomsTexPantsWideGakuran0,裁縫店,220,880,全年,簡單,"['日常生活', '正式']",False,7
中華風七分褲,チャイナなクロップドパンツ,silk floral-print pants,下身,BottomsTexPantsNormalChinashort3,裁縫店,360,1440,全年,可愛,['日常生活'],False,7
中華風褲子,チャイナなズボン,silk pants,下身,BottomsTexPantsNormalChina4,裁縫店,360,1440,全年,優雅,"['日常生活', '正式']",False,5
滑雪褲,スキーウェアのズボン,ski pants,下身,BottomsTexPantsWideSki2,裁縫店,390,1560,冬季,活潑,"['戶外活動', '運動']",False,6
西裝褲,スラックス,slacks,下身,BottomsTexPantsNormalSlacks6,裁縫店,325,1300,全年,簡單,"['正式', '派對', '工作']",False,7
足球褲,サッカーのズボン,soccer shorts,下身,BottomsTexPantsHalfSoccer5,裁縫店,245,980,全年,活潑,"['運動', '工作']",False,8
亮片熱褲,スパンコールのホットパンツ,spangle shorts,下身,BottomsTexPantsHotSequins3,裁縫店,245,980,全年,華麗,"['派對', '舞台']",False,8
棉裙,スウェットスカート,sporty skirt,下身,BottomsTexSkirtBoxSweat0,裁縫店,200,800,全年,簡單,"['日常生活', '悠閒']",False,4
混色條紋寬褲,マルチストライプワイドパンツ,striped bell-bottoms,下身,BottomsTexPantsWideMultistripe1,裁縫店,330,1320,全年,優雅,"['派對', '舞台']",False,4
粗橫紋褲,ボーダーパンツ,striped pants,下身,BottomsTexPantsNormalBoder4,裁縫店,275,1100,全年,簡單,"['日常生活', '悠閒', '度假']",False,5
混色條紋熱褲,マルチストライプのホットパンツ,striped shorts,下身,BottomsTexPantsHotMultistripe2,裁縫店,330,1320,全年,可愛,"['派對', '舞台', '度假']",False,4
衝浪褲,サーフパンツ,surfing shorts,下身,BottomsTexPantsHalfSurf4,裁縫店,175,700,夏季,活潑,"['戶外活動', '運動', '度假']",False,5
棉褲,スウェットパンツ,sweatpants,下身,BottomsTexPantsNormalSweat0,裁縫店,200,800,全年,活潑,"['日常生活', '悠閒']",False,8
網球裙,テニススカート,tennis skirt,下身,BottomsTexSkirtAlineTennis0,裁縫店,360,1440,全年,活潑,"['戶外活動', '運動']",False,4
毛絨熱褲,もこもこホットパンツ,terry-cloth shorts,下身,BottomsTexPantsHotFluffy0,裁縫店,315,1260,冬季,可愛,"['童話世界', '悠閒', '度假']",False,4
運動棉褲,フィットネススウェットパンツ,three-quarter sweatpants,下身,BottomsTexPantsNormalCroppedsweat4,裁縫店,275,1100,全年,活潑,"['悠閒', '運動']",False,8
紮染裙子,タイダイスカート,tie-dye skirt,下身,BottomsTexSkirtLongTiedye0,裁縫店,315,1260,夏季,活潑,"['悠閒', '度假']",False,5
蛋糕裙,ティアードスカート,tiered skirt,下身,BottomsTexSkirtLongTiered0,裁縫店,300,1200,全年,簡單,"['日常生活', '童話世界', '悠閒', '度假']",False,5
破爛褲子,やぶれたズボン,torn pants,下身,BottomsTexPantsWideTeared2,回收箱,10,,全年,簡單,['恐怖'],False,3
體育運動褲,スポーツジャージのズボン,track pants,下身,BottomsTexPantsNormalSportsjersey2,裁縫店,192,770,全年,活潑,"['戶外活動', '運動']",False,7
束口燈籠褲,もんぺ,traditional monpe pants,下身,BottomsTexPantsNormalMonpe3,裁縫店,260,1040,全年,簡單,"['戶外活動', '工作']",False,4
格子褲,ステテコ,traditional suteteko pants,下身,BottomsTexPantsWideSuteteko0,裁縫店,140,560,全年,簡單,"['悠閒', '度假']",False,6
斜紋軟呢蓬蓬裙,ツイードフリルスカート,tweed frilly skirt,下身,BottomsTexSkirtAlineTweedfrill1,裁縫店,390,1560,全年,可愛,"['日常生活', '童話世界', '正式']",False,4
斜紋軟呢褲,ツイードパンツ,tweed pants,下身,BottomsTexPantsWideTweed3,裁縫店,325,1300,全年,簡單,"['日常生活', '正式']",False,6
斜紋軟呢裙,ツイードスカート,tweed skirt,下身,BottomsTexSkirtAlineTweed1,裁縫店,325,1300,全年,簡單,['日常生活'],False,3
撞色褲,ツートンなズボン,two-tone pants,下身,BottomsTexPantsNormalTwotoneMonochrome,裁縫店,220,880,全年,活潑,"['日常生活', '悠閒']",False,4
破舊裙子,シャビーなスカート,upcycled skirt,下身,BottomsTexSkirtAlineShabby1,裁縫店,330,1320,全年,簡單,"['日常生活', '童話世界', '派對']",False,3
民族風褲子,エスニックパンツ,vibrant shorts,下身,BottomsTexPantsHalfEthnic4,裁縫店,245,980,全年,活潑,"['戶外活動', '度假']",False,5
西部牛仔褲,カウボーイパンツ,western pants,下身,BottomsTexPantsWideCowboyBrown,裁縫店,385,1540,全年,活潑,"['戶外活動', '工作']",False,0
卡其寬褲,ワイドチノ,wide chino pants,下身,BottomsTexPantsWideChino4,裁縫店,275,1100,全年,簡單,"['日常生活', '戶外活動']",False,5
健身褲,ワークアウトパンツ,workout pants,下身,BottomsTexPantsNormalTraining1,裁縫店,220,880,全年,活潑,"['戶外活動', '運動', '工作']",False,3
破洞牛仔短褲,あなあきショートデニム,worn-out cutoffs,下身,BottomsTexPantsHotDenimholes0,裁縫店,240,960,夏季,酷,"['日常生活', '度假']",False,4
破洞牛仔褲,あなあきデニム,worn-out jeans,下身,BottomsTexPantsNormalDenimholes0,裁縫店,275,1100,全年,酷,"['日常生活', '戶外活動']",False,4
帆船短褲,ヨットのショートパンツ,yacht shorts,下身,BottomsTexPantsHotYacht1,裁縫店,210,840,夏季,可愛,"['悠閒', '度假']",False,4
端莊洋裝,よそいきなふく,academy uniform,套裝,TopsTexOnepieceBoxLYosoiki1,裁縫店,520,2080,全年,優雅,"['正式', '派對']",True,3
夢遊仙境連身裙,ふしぎなワンピース,adventure dress,套裝,TopsTexOnepieceBalloonHStrangeBlue,裁縫店,700,2800,全年,可愛,['童話世界'],True,0
提洛爾洋裝,チロリアンなドレス,alpinist dress,套裝,TopsTexOnepieceBalloonHTyrolean2,裁縫店,630,2520,全年,可愛,"['日常生活', '正式']",True,3
提洛爾吊帶褲,チロリアンなオーバーオール,alpinist overalls,套裝,TopsTexOnepieceOverallHTyrolean2,裁縫店,630,2520,全年,優雅,"['日常生活', '正式']",True,3
軍師服,ぐんしのふく,ancient belted robe,套裝,TopsTexOnepieceKimonoLKanpukumen3,裁縫店,910,3640,全年,優雅,['正式'],True,5
漢服,かんぷく,ancient sashed robe,套裝,TopsTexOnepieceKimonoLKanpukuwomen2,裁縫店,630,2520,全年,優雅,['正式'],True,5
越南傳統服裝,アオザイ,áo dài,套裝,TopsTexOnepieceBlongLAodai0,裁縫店,630,2520,全年,優雅,"['日常生活', '正式']",True,5
蘋果服,リンゴのふく,apple dress,套裝,TopsTexOnepieceAlineNApple0,DIY,1600,,全年,可愛,"['童話世界', '派對', '舞台']",True,0
太空連身裙,スペースワンピース,astro dress,套裝,TopsTexOnepieceAlineNSpace2,裁縫店,625,2500,全年,酷,"['童話世界', '舞台']",True,3
阿伊努族傳統服裝,アットゥシ,attus robe,套裝,TopsTexOnepieceBlongLAttoushi2,裁縫店,630,2520,全年,酷,"['日常生活', '正式']",True,3
嬰兒連身衣,ロンパース,baby romper,套裝,TopsTexOnepieceOverallLRompers4,裁縫店,480,1920,全年,可愛,"['童話世界', '悠閒']",True,8
小雞服,ひよこなふく,baby-chick costume,套裝,TopsTexOnepieceRibNChick0,裁縫店,425,1700,全年,可愛,"['童話世界', '派對', '舞台']",True,3
韓服褲,パジチョゴリ,baji jeogori,套裝,TopsTexOnepieceKimonoLKorea3,裁縫店,630,2520,全年,優雅,['正式'],True,4
芭蕾舞衣,バレエのいしょう,ballet outfit,套裝,TopsTexOnepieceBalloonNBallet5,裁縫店,720,2880,全年,可愛,"['童話世界', '運動', '舞台', '工作']",True,8
巴爾瑪肯大衣,バルマカーンコート,balmacaan coat,套裝,TopsTexOnepieceBlongLBalmakarn0,裁縫店,385,1540,冬季,簡單,['日常生活'],True,3
棒球服,やきゅうのふく,baseball uniform,套裝,TopsTexOnepieceOverallLBaseball3,裁縫店,440,1760,全年,活潑,"['運動', '工作']",True,5
浴巾,バスタオル,bath-towel wrap,套裝,TopsTexOnepieceBoxNBathtowel1,裁縫店,157,630,全年,簡單,['悠閒'],True,7
浴袍,バスローブ,bathrobe,套裝,TopsTexOnepieceBoxLBathrobes0,裁縫店,180,720,全年,簡單,['悠閒'],True,7
熊熊裝,クマなふく,bear costume,套裝,TopsTexOnepieceOverallLBear0,裁縫店,425,1700,全年,可愛,"['童話世界', '派對', '舞台']",True,4
烏茲別克服,ウズベクなふく,bekasab robe,套裝,TopsTexOnepieceAlongLUzbek0,裁縫店,630,2520,全年,華麗,"['日常生活', '正式']",True,4
圓點腰帶連身裙,ベルトつきみずたまワンピース,belted dotted dress,套裝,TopsTexOnepieceBalloonHPolkadot1,裁縫店,500,2000,夏季,可愛,"['童話世界', '派對', '度假']",True,4
沖繩傳統服裝,びんがたいしょう,bingata dress,套裝,TopsTexOnepieceKimonoLBingata0,裁縫店,630,2520,全年,優雅,['舞台'],True,0
花紋連身裙,はながらワンピース,blossom dress,套裝,TopsTexOnepieceAlineHFlower0,裁縫店,375,1500,全年,可愛,"['日常生活', '童話世界']",True,5
梅花和服,ウメがらのきもの,blossoming kimono,套裝,TopsTexOnepieceKimonoLUme0,裁縫店,805,3220,全年,優雅,"['正式', '派對']",True,2
絨毛連帽上衣,ボアパーカー,boa parka,套裝,TopsTexOnepieceRibLBore2,裁縫店,450,1800,冬季,簡單,"['日常生活', '戶外活動', '悠閒']",True,4
波希米亞連身裙,ボヘミアンワンピ,Bohemian tunic dress,套裝,TopsTexOnepieceBoxLBohemian1,裁縫店,475,1900,全年,優雅,"['日常生活', '悠閒', '度假']",True,3
玻里尼西亞風夏威夷連身裙,ポリネシアンなムームー,bold muumuu,套裝,TopsTexOnepieceAlineNPolynesia1,裁縫店,400,1600,夏季,活潑,"['悠閒', '度假']",True,2
禮服小外套,ボレロコート,bolero coat,套裝,TopsTexOnepieceAlineLBolerocoat0,裁縫店,520,2080,冬季,可愛,"['日常生活', '童話世界', '悠閒']",True,4
骨頭服,ボーンなふく,bone costume,套裝,TopsTexOnepieceOverallLBoneWhite,裁縫店,320,1280,全年,酷,"['童話世界', '恐怖']",True,0
制服背心裙,ジャンパースカートのせいふく,box-skirt uniform,套裝,TopsTexOnepieceBoxLJumperskirtuniform4,裁縫店,575,2300,全年,簡單,"['日常生活', '正式']",True,7
兔子服,ウサギなふく,bunny dress,套裝,TopsTexOnepieceAlineLRabbit2,裁縫店,450,1800,全年,可愛,"['童話世界', '派對']",True,3
蝴蝶結社交和服,ちょうがらのほうもんぎ,butterfly visiting kimono,套裝,TopsTexOnepieceKimonoLButterfly0,裁縫店,665,2660,全年,優雅,"['正式', '派對']",True,3
