name_c,name_j,name_e,category,filename,obtainedFrom,sell,buy,tag,themes
田園風景牆,でんえんふうけいのかべ,rice-paddy wall,壁紙,RoomSpWallFarm00,駱嵐,750,3000,特酷自然牆,['花園']
職業摔角牆,プロレスのかべ,ringside seating,壁紙,RoomSpWallWrestling00,駱嵐,750,3000,特殊牆,['健身']
抱石牆,ボルダリングのかべ,rock-climbing wall,壁紙,RoomTexWallBouldering00,駱嵐,750,3000,neta牆,['健身']
玫瑰壁紙,バラのかべがみ,rose wall,壁紙,RoomTexWallRose00,Nook商店,430,1720,玫瑰牆,['豪華時髦的']
遺跡牆,いせきのかべ,ruins wall,壁紙,RoomTexWallRemains00,駱嵐,750,3000,自然牆,"['恐怖', '民間藝術']"
不規則石頭牆,ランダムストーンのかべ,rustic-stone wall,壁紙,RoomTexWallStone00,DIY,1750,,石牆,"['設施', '商店']"
櫻花木牆,さくらのウッドウォール,sakura-wood wall,壁紙,RoomTexWallSolidWood00,DIY,3200,,木牆,"['兒童房', '豪華時髦的']"
太空船牆,うちゅうせんのかべ,sci-fi wall,壁紙,RoomSpWallSF00,DIY,7500,,特殊無機牆,"['太空', '設施']"
日式拉門,ふすま,screen wall,壁紙,RoomTexWallFusuma00,Nook商店,750,3000,日式,"['禪宗風格', '設施']"
汪洋大海牆,おおうなばらのかべ,sea view,壁紙,RoomSpWallSeaView00,駱嵐,750,3000,特酷自然牆,['海洋']
監控室牆,モニタールームのかべ,security-monitors wall,壁紙,RoomSpWallMonitor00,駱嵐,750,3000,特殊無機牆,['設施']
深褐色巧拼壁紙,セピアパズルかべがみ,sepia puzzle wall,壁紙,RoomTexWallPuzzle02,Nook商店,385,1540,拼圖牆,"['豪華時髦的', '兒童房']"
機房牆,サーバールームのかべ,server-room wall,壁紙,RoomSpWallServer00,駱嵐,750,3000,特殊無機牆,['設施']
日式紙拉門,しょうじ,shoji screen,壁紙,RoomSpWallShoji00,Nook商店,470,1880,日式,['禪宗風格']
鐵捲門牆,シャッターのかべ,shutter wall,壁紙,RoomTexWallShutter00,駱嵐,750,3000,鐵牆,"['設施', '商店']"
滑雪場壁紙,ゲレンデなかべがみ,ski-slope wall,壁紙,RoomSpWallGelande00,DIY,3200,,特酷自然牆,['雪季']
骷髏壁紙,スカルなかべがみ,skull wall,壁紙,RoomSpWallSkull00,Nook商店,750,3000,特殊無機牆,"['恐怖', '兒童房']"
雲上風景牆,くものうえのかべ,sky wall,壁紙,RoomSpWallCloud00,駱嵐,750,3000,特酷自然牆,['豪華時髦的']
摩天大樓牆,まてんろうのかべ,skyscraper wall,壁紙,RoomTexWallSkyscraper00,駱嵐,750,3000,neta牆,['昂貴']
雪花壁紙,スノーフレークのかべがみ,snowflake wall,壁紙,RoomTexWallSnowCrystal00,DIY,4800,,布塊牆,['雪季']
穩重茶室牆,おちついたちゃしつのかべ,soothing tearoom wall,壁紙,RoomTexWallMud01,Nook商店,437,1750,茶室牆,"['禪宗風格', '商店']"
木質牆,ウッディなかべ,stacked-wood wall,壁紙,RoomTexWallFireWood00,DIY,1800,,木牆,"['車庫', '設施']"
體育場牆,スタジアムのかべ,stadium wall,壁紙,RoomSpWallStadium00,駱嵐,750,3000,特酷自然牆,['健身']
標準茶室牆,スタンダードなちゃしつのかべ,standard tearoom wall,壁紙,RoomTexWallMud00,Nook商店,437,1750,茶室牆,['禪宗風格']
星星牆,スターなかべ,starry wall,壁紙,RoomSpWallStarPrint00,DIY,7500,,特酷自然牆,"['豪華時髦的', '兒童房']"
星空牆,ほしぞらのかべ,starry-sky wall,壁紙,RoomSpWallStarSky00,DIY,7500,,特酷自然牆,['太空']
文藝復興牆,ルネッサンスなかべ,stately wall,壁紙,RoomTexWallRenaissance00,Nook商店,612,2450,亞洲,['昂貴']
鋼筋牆,てっこつのかべ,steel-frame wall,壁紙,RoomTexWallSteel00,DIY,6000,,鐵牆,"['車庫', '設施']"
石板牆,いしのかべ,stone wall,壁紙,RoomTexWallBasement00,DIY,1500,,石牆,"['恐怖', '設施']"
暴風雨夜晚牆,あらしのよるのかべ,stormy-night wall,壁紙,RoomSpWallThunder00,駱嵐,750,3000,特殊的自然牆,['恐怖']
吸管牆,ストローなかべ,straw wall,壁紙,RoomTexWallStraw00,駱嵐,750,3000,木牆,['民間藝術']
草莓巧克力牆,いちごチョコなかべ,strawberry-chocolate wall,壁紙,RoomTexWallChocolate02,駱嵐,750,3000,巧克力,['豪華時髦的']
街頭藝術牆,ストリートアートのかべ,street-art wall,壁紙,RoomTexWallStreetArt00,駱嵐,750,3000,neta牆,['車庫']
山頂牆,さんちょうのかべ,summit wall,壁紙,RoomSpWallMountainTop00,駱嵐,750,3000,特酷自然牆,['花園']
行道樹牆,がいろじゅのかべ,tree-lined wall,壁紙,RoomTexWallRoadsideTree00,駱嵐,750,3000,自然牆,['花園']
南方海洋牆,みなみのうみなかべ,tropical vista,壁紙,RoomSpWallTropical00,DIY,6000,,特酷自然牆,['海洋']
水中壁紙,すいちゅうのかべがみ,underwater wall,壁紙,RoomSpWallFishTank00,DIY,8600,,特酷自然牆,['海洋']
波浪磚牆,ウェーブタイルのかべ,wavy-tile wall,壁紙,RoomTexWallWaveTile00,Nook商店,435,1740,瓷磚牆,"['商店', '設施']"
曠野牆,こうやのかべ,western vista,壁紙,RoomSpWallWilderness00,駱嵐,750,3000,特酷自然牆,"['民間藝術', '恐怖']"
白色植物圖案磚牆,しろいボタニカルタイルのかべ,white botanical-tile wall,壁紙,RoomTexWallWoodTile00,Nook商店,310,1240,木瓷磚牆,"['設施', '昂貴']"
白色碎花壁紙,しろいこばながらのかべがみ,white delicate-blooms wall,壁紙,RoomTexWallManor00,Nook商店,475,1900,莊園牆,"['昂貴', '客廳']"
白色大廳牆,しろいホールのかべ,white hallway wall,壁紙,RoomTexWallHall02,Nook商店,500,2000,大廳牆,"['設施', '音樂']"
白色六角磚牆,しろいハニカムタイルのかべ,white honeycomb-tile wall,壁紙,RoomTexWallHoneycomb03,Nook商店,420,1680,蜂窩,"['浴室', '設施']"
白色油漆木牆,しろいペイントウッドのかべ,white painted-wood wall,壁紙,RoomTexWallPaintWood03,Nook商店,412,1650,彩繪木,"['客廳', '兒童房']"
白色洞洞板牆,しろいパンチングボードのかべ,white perforated-board wall,壁紙,RoomTexWallPegboard00,Nook商店,295,1180,釘板牆,"['音樂', '設施']"
白色簡約布面牆,しろいシンプルクロス,white simple-cloth wall,壁紙,RoomTexWallSimple00,Nook商店,187,750,簡單的牆壁,"['兒童房', '客廳']"
白色地鐵磚牆,しろいメトロタイルのかべ,white subway-tile wall,壁紙,RoomTexWallMetro01,Nook商店,335,1340,地鐵牆,"['設施', '商店']"
白色磚塊牆,しろレンガのかべ,white-brick wall,壁紙,RoomTexWallBrick00,Nook商店,250,1000,磚,"['設施', '商店']"
白巧克力牆,ホワイトチョコなかべ,white-chocolate wall,壁紙,RoomTexWallChocolate01,駱嵐,750,3000,巧克力,['豪華時髦的']
白色玫瑰壁紙,しろいバラのかべがみ,white-rose wall,壁紙,RoomTexWallRose02,Nook商店,430,1720,玫瑰牆,['豪華時髦的']
原木牆,ワイルドウッドのかべ,wild-wood wall,壁紙,RoomTexWallWildWood00,DIY,1800,,木牆,"['客廳', '商店']"
木節牆,ふしありウッドウォール,wooden-knot wall,壁紙,RoomTexWallCedar00,DIY,1800,,木牆,"['客廳', '兒童房']"
嵌木牆,よせぎのかべ,wooden-mosaic wall,壁紙,RoomTexWallMixPlankWood00,DIY,1800,,木板牆,"['客廳', '商店']"
樹海牆,じゅかいなかべ,woodland wall,壁紙,RoomTexWallJukai00,DIY,1380,,自然牆,"['恐怖', '設施']"
黃色花紋壁紙,きいろいはながらかべがみ,yellow flower-print wall,壁紙,RoomTexWallFlower02,Nook商店,445,1780,花牆,"['豪華時髦的', '客廳']"
黃色愛心壁紙,イエローハートのかべがみ,yellow heart-pattern wall,壁紙,RoomTexWallHeart02,Nook商店,320,1280,心牆,"['豪華時髦的', '兒童房']"
黃色布牆,きいろいテキスタイルのかべ,yellow intricate wall,壁紙,RoomTexWallFlowerPop01,Nook商店,392,1570,布牆,"['客廳', '商店']"
黃色兒童房壁紙,きいろいキッズルームのかべがみ,yellow playroom wall,壁紙,RoomTexWallToy03,Nook商店,635,2540,玩具牆,"['兒童房', '豪華時髦的']"
黃色拼布牆,イエローキルトのかべ,yellow quilt wall,壁紙,RoomTexWallDollhouse02,Nook商店,537,2150,拼布牆,"['豪華時髦的', '兒童房']"
米色簡約布面牆,ベージュのシンプルクロス,yellow simple-cloth wall,壁紙,RoomTexWallSimple01,Nook商店,187,750,簡單的牆壁,"['兒童房', '客廳']"
黃色油漆牆,きいろいペイントウォール,yellow-paint wall,壁紙,RoomTexWallStucco00,Nook商店,400,1600,灰泥牆,"['豪華時髦的', '兒童房']"
黃色條紋壁紙,イエローストライプのかべがみ,yellow-striped wall,壁紙,RoomTexWallStripe04,Nook商店,380,1520,條紋牆,"['豪華時髦的', '兒童房']"
水藍色馬賽克磚地板,みずいろモザイクタイルのゆか,aqua tile flooring,地板,RoomTexFloorTile01,Nook商店,225,900,瓷磚地板,"['浴室', '設施']"
阿拉伯式地板,アラベスクなゆか,arabesque flooring,地板,RoomTexFloorArabesque00,Nook商店,530,2120,布地板,"['昂貴', '客廳']"
弧形磚塊地板,アーチレンガのゆか,arched-brick flooring,地板,RoomTexFloorArchBrick00,Nook商店,275,1100,拱形磚,"['設施', '商店']"
菱格紋磚地板,アーガイルなタイルのゆか,argyle tile flooring,地板,RoomTexFloorTileWood00,Nook商店,437,1750,瓷磚地板,"['浴室', '設施']"
藝術嵌木地板,アートなよせぎざいくのゆか,artsy parquet flooring,地板,RoomTexFloorParquetArt00,Nook商店,450,1800,簡單實木複合地板,"['設施', '商店']"
草坪地板,しばふのゆか,backyard lawn,地板,RoomTexFloorLawn00,DIY,600,,草原,['花園']
竹子地板,バンブーなゆか,bamboo flooring,地板,RoomTexFloorBamboo00,DIY,2400,,自然-綠色,['禪宗風格']
地下室地板,ちかしつのゆか,basement flooring,地板,RoomTexFloorBasement00,DIY,1500,,石材地板,"['恐怖', '設施']"
米色摩洛哥磚地板,ベージュのモロッカンタイルゆか,beige desert-tile flooring,地板,RoomTexFloorMorocco00,Nook商店,525,2100,摩洛哥,"['浴室', '設施']"
草莓巧克力地板,いちごチョコアソートなゆか,berry-chocolates flooring,地板,RoomTexFloorChocolate02,駱嵐,750,3000,巧克力,['豪華時髦的']
原木地板,しらきのフローリング,birch flooring,地板,RoomTexFloorBirch00,Nook商店,200,800,木地板,"['客廳', '兒童房']"
黑色鑄鐵拼花地板,くろいアイアンパーケットのゆか,black iron-parquet flooring,地板,RoomTexFloorParquetIron02,Nook商店,587,2350,鐵木地板,"['昂貴', '客廳']"
黑色磚塊地板,くろレンガのゆか,black-brick flooring,地板,RoomTexFloorBrick02,Nook商店,260,1040,磚,"['設施', '商店']"
藍色迷彩地板,ブルーめいさいのゆか,blue camo flooring,地板,RoomTexFloorCamouflage01,Nook商店,330,1320,迷彩,"['派對', '兒童房']"
藍色摩洛哥磚地板,ブルーのモロッカンタイルゆか,blue desert-tile flooring,地板,RoomTexFloorMorocco01,Nook商店,525,2100,摩洛哥,"['浴室', '設施']"
藍色點點地毯,ブルードットカーペット,blue dot flooring,地板,RoomTexFloorDot04,Nook商店,200,800,點,"['豪華時髦的', '兒童房']"
藍色花朵地板,あおいフラワーフローリング,blue floral flooring,地板,RoomTexFloorDecoWood01,Nook商店,380,1520,裝飾木,"['商店', '客廳']"
藍色六角磚地板,ブルーハニカムタイルのゆか,blue honeycomb tile,地板,RoomTexFloorHoneycomb01,Nook商店,355,1420,蜂窩,"['浴室', '設施']"
藍色馬賽克磚地板,ブルーモザイクタイルのゆか,blue mosaic-tile flooring,地板,RoomTexFloorTile03,Nook商店,225,900,瓷磚地板,"['浴室', '設施']"
藍色塑膠地板,ブルーラバーのゆか,blue rubber flooring,地板,RoomTexFloorRubber01,Nook商店,212,850,橡膠,"['健身', '學校']"
藍色油漆地板,あおいペイントフローリング,blue-paint flooring,地板,RoomTexFloorPaintWood00,Nook商店,260,1040,彩繪木,"['豪華時髦的', '兒童房']"
職業摔角地板,プロレスのゆか,boxing-ring mat,地板,RoomTexFloorWrestling00,駱嵐,750,3000,運動地板,['健身']
棕色菱格紋磚地板,ブラウンのアーガイルタイルゆか,brown argyle-tile flooring,地板,RoomTexFloorArgyleTile01,Nook商店,360,1440,菱形,"['昂貴', '設施']"
茶色花朵地板,ちゃいろいフラワーフローリング,brown floral flooring,地板,RoomTexFloorDecoWood02,Nook商店,380,1520,裝飾木,"['商店', '客廳']"
棕色六角磚地板,ブラウンハニカムタイルのゆか,brown honeycomb tile,地板,RoomTexFloorHoneycomb00,Nook商店,355,1420,蜂窩,"['浴室', '設施']"
銀色鑄鐵拼花地板,ぎんのアイアンパーケットのゆか,brown iron-parquet flooring,地板,RoomTexFloorParquetIron01,Nook商店,587,2350,鐵木地板,"['昂貴', '客廳']"
茶色磚塊地板,ちゃいろいレンガのゆか,brown-brick flooring,地板,RoomTexFloorBrick03,Nook商店,260,1040,磚,"['設施', '商店']"
復活節地板,イースターなゆか,Bunny Day flooring,地板,RoomTexFloorEaster00,DIY,4800,,點,"['豪華時髦的', '兒童房']"
迷彩地板,めいさいのゆか,camo flooring,地板,RoomTexFloorCamouflage00,Nook商店,330,1320,迷彩,"['派對', '兒童房']"
櫻花地毯,さくらのじゅうたん,cherry-blossom flooring,地板,RoomTexFloorSakura00,DIY,4400,,自然-落葉,"['花園', '豪華時髦的']"
主機板地板,きばんのゆか,circuit-board flooring,地板,RoomTexFloorGeek00,駱嵐,750,3000,機械地板,['設施']
雲上風景,くものうえ,cloud flooring,地板,RoomSpFloorCloud00,駱嵐,750,3000,特殊自然地板,['豪華時髦的']
楓葉地板,こうようのゆか,colored-leaves flooring,地板,RoomTexFloorAutumun00,DIY,4300,,自然-落葉,['花園']
彩色馬賽克磚地板,カラフルモザイクタイルのゆか,colorful mosaic-tile flooring,地板,RoomTexFloorTile02,Nook商店,225,900,瓷磚地板,"['浴室', '設施']"
彩色巧拼地板,カラフルパズルのゆか,colorful puzzle flooring,地板,RoomTexFloorPuzzleMat01,Nook商店,362,1450,拼圖墊,"['豪華時髦的', '兒童房']"
彩色拼接地毯,カラフルパネルカーペット,colorful tile flooring,地板,RoomTexFloorPanel01,Nook商店,405,1620,面板,"['客廳', '兒童房']"
常見地板,よくあるゆかいた,common flooring,地板,RoomTexFloorCommon00,Nook商店,180,720,木地板,"['客廳', '學校']"
混凝土地板,コンクリートのゆか,concrete flooring,地板,RoomTexFloorConcrete00,Nook商店,205,820,石材地板,"['車庫', '設施']"
施工現場地板,こうじげんばのゆか,construction-site flooring,地板,RoomTexFloorConstruction00,駱嵐,750,3000,人行道,"['車庫', '設施']"
酷感塑膠磚地板,クールなピータイル,cool vinyl flooring,地板,RoomTexFloorTileChecker03,Nook商店,287,1150,瓷磚檢查器,['昂貴']
酷感油漆地板,クールなペイントフローリング,cool-paint flooring,地板,RoomTexFloorColorfulWood01,Nook商店,550,2200,多彩木,"['豪華時髦的', '兒童房']"
軟木地板,コルクフローリング,cork flooring,地板,RoomTexFloorCork00,Nook商店,375,1500,木地板,"['學校', '音樂']"
麥田圈地板,ミステリーサークルなゆか,crop-circles flooring,地板,RoomTexFloorCropCircles00,駱嵐,750,3000,自然-綠色,['花園']
斑馬線地板,おうだんほどうのゆか,crosswalk flooring,地板,RoomTexFloorSidewalk00,駱嵐,750,3000,人行道,['設施']
立方嵌木地板,キュービックなよせぎのゆか,cubic parquet flooring,地板,RoomTexFloorHoneycombWood00,Nook商店,375,1500,簡單實木複合地板,"['客廳', '兒童房']"
藍色可愛磁磚地板,ブルーのキュートなフロアタイル,cute blue-tile flooring,地板,RoomTexFloorCute02,Nook商店,195,780,瓷磚地板,"['豪華時髦的', '兒童房']"
紅色可愛磁磚地板,あかいキュートなフロアタイル,cute red-tile flooring,地板,RoomTexFloorCute01,Nook商店,195,780,瓷磚地板,"['豪華時髦的', '兒童房']"
白色可愛磁磚地板,しろいキュートなフロアタイル,cute white-tile flooring,地板,RoomTexFloorCute00,Nook商店,195,780,瓷磚地板,"['豪華時髦的', '兒童房']"
黃色可愛磁磚地板,きいろいキュートなフロアタイル,cute yellow-tile flooring,地板,RoomTexFloorCute03,Nook商店,195,780,瓷磚地板,"['豪華時髦的', '兒童房']"
可愛油漆地板,キュートなペイントフローリング,cute-paint flooring,地板,RoomTexFloorColorfulWood00,Nook商店,550,2200,多彩木,"['豪華時髦的', '兒童房']"
草原地板,そうげんのゆか,daisy meadow,地板,RoomTexFloorGrassland00,駱嵐,750,3000,草原,['花園']
深色人字斜紋地板,ダークなヘリンボーンのゆか,dark herringbone flooring,地板,RoomTexFloorHerringbone01,Nook商店,300,1200,人字斜紋,"['客廳', '商店']"
深色拼花地板,ダークなパーケットフローリング,dark parquet flooring,地板,RoomTexFloorCountry01,Nook商店,390,1560,鄉村,['客廳']
深色嵌木地板,ダークなよせぎざいくのゆか,dark wood-pattern flooring,地板,RoomTexFloorSimpleParquet01,Nook商店,375,1500,簡單實木複合地板,"['客廳', '商店']"
深色地板磚塊,ダークなフローリングブロック,dark-block flooring,地板,RoomTexFloorParquet01,Nook商店,345,1380,木地板,['學校']
黑巧克力地板,ビターチョコアソートなゆか,dark-chocolates flooring,地板,RoomTexFloorChocolate00,駱嵐,750,3000,巧克力,['豪華時髦的']
地底地板,ちていのゆか,dig-site flooring,地板,RoomTexFloorStratum00,駱嵐,750,3000,自然-棕色,"['花園', '恐怖']"
土壤地板,つちのゆか,dirt flooring,地板,RoomTexFloorCottonSoil00,駱嵐,750,3000,自然-棕色,"['花園', '戶外活動']"
旱田地板,はたけのゆか,field flooring,地板,RoomTexFloorFarm00,駱嵐,750,3000,自然-棕色,['花園']
石板地板,フラッグストーンなゆか,flagstone flooring,地板,RoomTexFloorFlagStone00,Nook商店,425,1700,石材地板,"['商店', '設施']"
花式馬賽克磚,フローラルなモザイクタイル,floral mosaic-tile flooring,地板,RoomTexFloorMosaicTile00,Nook商店,270,1080,瓷磚地板,"['浴室', '設施']"
花紋草蓆,はなござ,floral rush-mat flooring,地板,RoomTexFloorRush00,駱嵐,750,3000,日式,"['豪華時髦的', '禪宗風格']"
河流地板,かわのながれるゆか,flowing-river flooring,地板,RoomSpFloorRiver00,駱嵐,750,3000,特殊自然地板,['花園']
蘑菇森林地板,キノコのもりのゆか,forest flooring,地板,RoomTexFloorMushForest00,DIY,35000,,自然-落葉,"['花園', '恐怖']"
超科技地板,オーバーテクノロジーなゆか,future-tech flooring,地板,RoomSpFloorTechnology00,駱嵐,750,3000,特殊無機地板,"['恐怖', '民間藝術']"
銀河系地板,ぎんがけいのゆか,galaxy flooring,地板,RoomSpFloorGalaxy00,DIY,7500,,特殊自然地板,['太空']
垃圾堆地板,おへやのゆか,garbage-heap flooring,地板,RoomTexFloorGarbage00,DIY,120,,衰落,"['恐怖', '車庫']"
長頸鹿紋地板,ジラフなゆか,giraffe-print flooring,地板,RoomTexFloorAnimal01,Nook商店,325,1300,動物地板,"['派對', '豪華時髦的']"
金色鑄鐵拼花地板,きんのアイアンパーケットのゆか,gold iron-parquet flooring,地板,RoomTexFloorParquetIron00,Nook商店,587,2350,鐵木地板,"['昂貴', '客廳']"
黃金地板,おうごんのゆか,golden flooring,地板,RoomTexFloorGold00,DIY,40000,,豪華,"['昂貴', '恐怖']"
碎石地板,たまじゃりのゆか,gravel flooring,地板,RoomTexFloorGravel00,駱嵐,750,3000,石材地板,"['花園', '設施']"
灰色菱格紋磚地板,グレーのアーガイルタイルゆか,gray argyle-tile flooring,地板,RoomTexFloorArgyleTile00,Nook商店,360,1440,菱形,"['昂貴', '設施']"
灰階配色塑膠磚地板,モノクロピータイル,gray vinyl flooring,地板,RoomTexFloorTileChecker00,Nook商店,287,1150,瓷磚檢查器,['昂貴']
綠色花朵地板,グリーンのフラワーフローリング,green floral flooring,地板,RoomTexFloorDecoWood03,Nook商店,380,1520,裝飾木,"['商店', '客廳']"
綠色六角磚地板,グリーンハニカムタイルのゆか,green honeycomb tile,地板,RoomTexFloorHoneycomb02,Nook商店,355,1420,蜂窩,"['浴室', '設施']"
綠色復古地板,グリーンレトロなゆか,green retro flooring,地板,RoomTexFloorKitchen01,Nook商店,385,1540,廚房地板,"['廚房', '商店']"
綠色塑膠地板,グリーンラバーのゆか,green rubber flooring,地板,RoomTexFloorRubber00,Nook商店,212,850,橡膠,"['健身', '學校']"
綠色塑膠磚地板,みどりのピータイル,green vinyl flooring,地板,RoomTexFloorTileChecker02,Nook商店,287,1150,瓷磚檢查器,['昂貴']
綠色油漆地板,みどりのペイントフローリング,green-paint flooring,地板,RoomTexFloorPaintWood01,Nook商店,260,1040,彩繪木,"['豪華時髦的', '兒童房']"
麻葉紋磚地板,あさのはタイルのゆか,hexagonal floral flooring,地板,RoomTexFloorHempTile00,Nook商店,215,860,瓷磚地板,"['禪宗風格', '商店']"
高速公路地板,ハイウェイのゆか,highway flooring,地板,RoomTexFloorHighway00,駱嵐,750,3000,人行道,['設施']
蜂蜜地板,ハチミツなゆか,honeycomb flooring,地板,RoomTexFloorHoney00,DIY,3000,,內塔,"['豪華時髦的', '設施']"
冰雪地板,アイスなゆか,ice flooring,地板,RoomSpFloorIce00,DIY,8200,,特殊自然地板,"['雪季', '設施']"
流冰地板,りゅうひょうのゆか,iceberg flooring,地板,RoomSpFloorIceFloe00,DIY,4000,,特殊自然地板,['雪季']
王朝地板,おうちょうなゆか,imperial tile,地板,RoomTexFloorDynasty00,駱嵐,750,3000,豪華,['昂貴']
巧拼地墊地板,ジョイントマットのゆか,jointed-mat flooring,地板,RoomTexFloorJointMat00,Nook商店,262,1050,布地板,"['學校', '兒童房']"
叢林地板,ジャングルのゆか,jungle flooring,地板,RoomTexFloorJungle00,DIY,2200,,自然-綠色,"['花園', '設施']"
庸俗地板,キッチュなゆか,kitschy tile,地板,RoomTexFloorKitschTile00,Nook商店,320,1280,瓷磚地板,['派對']
熔岩地板,ようがんのゆか,lava flooring,地板,RoomSpFloorVolcano00,駱嵐,750,3000,特殊無機地板,['恐怖']
豹紋地板,レオパードなゆか,leopard-print flooring,地板,RoomTexFloorAnimal00,Nook商店,325,1300,動物地板,"['派對', '豪華時髦的']"
淺色人字斜紋地板,ライトなヘリンボーンのゆか,light herringbone flooring,地板,RoomTexFloorHerringbone00,Nook商店,300,1200,人字斜紋,"['客廳', '商店']"
淺色拼花地板,ライトなパーケットフローリング,light parquet flooring,地板,RoomTexFloorCountry00,Nook商店,390,1560,鄉村,"['客廳', '商店']"
淺色嵌木地板,ライトなよせぎざいくのゆか,light wood-pattern flooring,地板,RoomTexFloorSimpleParquet00,Nook商店,375,1500,簡單實木複合地板,"['客廳', '商店']"
大廳地板,ロビーのゆか,lobby flooring,地板,RoomTexFloorLobby00,駱嵐,750,3000,布地板,"['設施', '派對']"
月球表面地板,げつめんのゆか,lunar surface,地板,RoomTexFloorLunar00,DIY,7500,,自然-白色,['太空']
波浪圖案地板,なみもようのゆか,marine pop flooring,地板,RoomTexFloorFishPop00,Nook商店,505,2020,布地板,"['兒童房', '豪華時髦的']"
薄荷綠點點地毯,ミントドットカーペット,mint dot flooring,地板,RoomTexFloorDot01,Nook商店,200,800,點,"['豪華時髦的', '兒童房']"
拼木地板,ミックスウッドのフローリング,modern wood flooring,地板,RoomTexFloorMixwood00,Nook商店,320,1280,木地板,"['客廳', '兒童房']"
金錢地板,マネーなゆか,money flooring,地板,RoomTexFloorBill00,DIY,25000,,衰落,['昂貴']
灰階配色點點地毯,モノクロドットカーペット,monochromatic dot flooring,地板,RoomTexFloorDot00,Nook商店,200,800,點,"['豪華時髦的', '兒童房']"
灰階配色拼接地毯,モノクロパネルカーペット,monochromatic tile flooring,地板,RoomTexFloorPanel00,Nook商店,405,1620,面板,"['書桌', '客廳']"
青苔庭園地板,こけにわのゆか,mossy-garden flooring,地板,RoomTexFloorMoss00,駱嵐,750,3000,自然-綠色,"['禪宗風格', '花園']"
自然風地板磚塊,ナチュラルフローリングブロック,natural-block flooring,地板,RoomTexFloorParquet00,Nook商店,345,1380,木地板,['學校']
Nook Inc.地板,たぬきかいはつのフローリング,Nook Inc. flooring,地板,RoomTexFloorFirst00,購物：哩數兌換,6000,,木地板,"['學校', '商店']"
綠洲地板,オアシスなゆか,oasis flooring,地板,RoomSpFloorOasis00,駱嵐,750,3000,特殊無機地板,"['花園', '民間藝術']"
黃綠色摩洛哥磚地板,きみどりモロッカンタイルゆか,olive desert-tile flooring,地板,RoomTexFloorMorocco03,Nook商店,525,2100,摩洛哥,"['浴室', '設施']"
橘色迷彩地板,オレンジめいさいのゆか,orange camo flooring,地板,RoomTexFloorCamouflage03,Nook商店,330,1320,迷彩,"['派對', '兒童房']"
橘色復古地板,オレンジレトロなゆか,orange retro flooring,地板,RoomTexFloorKitchen00,Nook商店,385,1540,廚房地板,"['廚房', '商店']"
畫室地板,アトリエのゆか,paintball flooring,地板,RoomTexFloorAtelier00,駱嵐,750,3000,石材地板,"['車庫', '設施']"
宮殿地板,きゅうでんのゆか,palace tile,地板,RoomTexFloorPalace00,駱嵐,750,3000,豪華,"['昂貴', '民間藝術']"
停車場地板,パーキングのゆか,parking flooring,地板,RoomTexFloorParking00,駱嵐,750,3000,人行道,['設施']
派對地板,パーティーのゆか,party flooring,地板,RoomTexFloorParty00,活動：玩家生日,370,,衰落,"['派對', '豪華時髦的']"
粉嫩巧拼地板,パステルパズルのゆか,pastel puzzle flooring,地板,RoomTexFloorPuzzleMat00,Nook商店,362,1450,拼圖墊,"['豪華時髦的', '兒童房']"
拼花磚地板,パッチワークタイルのゆか,patchwork-tile flooring,地板,RoomTexFloorPatchworkTile00,Nook商店,525,2100,瓷磚地板,"['昂貴', '商店']"
松木地板,パインざいフローリング,pine-board flooring,地板,RoomTexFloorSimple00,Nook商店,625,2500,木地板,"['客廳', '兒童房']"
粉紅色油漆地板,ピンクのペイントフローリング,pink-paint flooring,地板,RoomTexFloorPaintWood02,Nook商店,260,1040,彩繪木,"['豪華時髦的', '兒童房']"
紫色迷彩地板,パープルめいさいのゆか,purple camo flooring,地板,RoomTexFloorCamouflage02,Nook商店,330,1320,迷彩,"['派對', '兒童房']"
紫色摩洛哥磚地板,むらさきのモロッカンタイルゆか,purple desert-tile flooring,地板,RoomTexFloorMorocco02,Nook商店,525,2100,摩洛哥,"['浴室', '設施']"
紫色巧拼地板,パープルパズルのゆか,purple puzzle flooring,地板,RoomTexFloorPuzzleMat03,Nook商店,362,1450,拼圖墊,['豪華時髦的']
金字塔地板,ピラミッドのゆか,pyramid tile,地板,RoomTexFloorEgypt00,駱嵐,750,3000,豪華,['民間藝術']
賽車賽道地板,レーストラックのゆか,racetrack flooring,地板,RoomTexFloorAthletics00,駱嵐,750,3000,運動地板,"['健身', '學校']"
廢墟地板,はいきょのゆか,ramshackle flooring,地板,RoomTexFloorRuins00,駱嵐,750,3000,衰落,['恐怖']
不規則方形磚地板,ランダムスクエアタイルのゆか,random-square-tile flooring,地板,RoomTexFloorSquareTile00,Nook商店,340,1360,瓷磚地板,"['設施', '商店']"
藤編地板,ラタンのゆか,rattan flooring,地板,RoomTexFloorRattan00,Nook商店,275,1100,木地板,"['設施', '商店']"
紅色點點地毯,レッドドットカーペット,red dot flooring,地板,RoomTexFloorDot02,Nook商店,200,800,點,"['豪華時髦的', '兒童房']"
紅黑色塑膠磚地板,あかくろピータイル,red-and-black vinyl flooring,地板,RoomTexFloorTileChecker01,Nook商店,287,1150,瓷磚檢查器,['昂貴']
